[Info  - 3:44:12 PM] Linter is running.
[Warn  - 3:44:24 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:24 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:25 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:26 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:27 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:28 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:28 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:28 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:28 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:29 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:29 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:31 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:33 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:35 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:35 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:36 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:37 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:37 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:39 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:39 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:41 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:42 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:43 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:44 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:44 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:45 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:45 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:46 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:47 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:48 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:48 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:49 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:49 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:50 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
